theme_id,theme_name_th,theme_name_en,category,description,parent_theme_id,created_at
1,กลิ่นหอม,,,,,2025-12-12T19:34:00.990238
2,ขจัดคราบมัน,,,,,2025-12-12T19:34:00.990238
3,ความปลอดภัย / ไม่มีสารตกค้าง,,,,,2025-12-12T19:34:00.990238
4,ความรู้สึกผ่อนคลาย,,,,,2025-12-12T19:34:00.990238
5,คุ้มค่า / ประหยัด,,,,,2025-12-12T19:34:00.990238
6,ช่วยในเวลาที่เร่งรีบ,,,,,2025-12-12T19:34:00.990238
7,ทำให้ห้องรู้สึกสะอาดขึ้น,,,,,2025-12-12T19:34:00.990238
8,ประสิทธิภาพ,,,,,2025-12-12T19:34:00.990238
9,ประสิทธิภาพสำคัญกว่า,,,,,2025-12-12T19:34:00.990238
10,ประหยัดน้ำ,,,,,2025-12-12T19:34:00.990238
11,ปลอดภัย / ไม่มีสารตกค้าง,,,,,2025-12-12T19:34:00.990238
12,ผลิตในไทย,,,,,2025-12-12T19:34:00.990238
13,ฟอง,,,,,2025-12-12T19:34:00.990238
14,ฟองน้อย,,,,,2025-12-12T19:34:00.990238
15,มั่นใจ,,,,,2025-12-12T19:34:00.990238
16,มาตรฐาน,,,,,2025-12-12T19:34:00.990238
17,มือไม่แห้ง / อ่อนโยนต่อมือ,,,,,2025-12-12T19:34:00.990238
18,ราคา,,,,,2025-12-12T19:34:00.990238
19,ล้างง่าย,,,,,2025-12-12T19:34:00.990238
20,ล้างออกง่าย,,,,,2025-12-12T19:34:00.990238
21,ล้างไว,,,,,2025-12-12T19:34:00.990238
22,ล้างไวขึ้น,,,,,2025-12-12T19:34:00.990238
23,สะดวกสบาย,,,,,2025-12-12T19:34:00.990238
24,สะอาด,,,,,2025-12-12T19:34:00.990238
25,สิ่งแวดล้อม,,,,,2025-12-12T19:34:00.990238
26,หาซื้อง่าย,,,,,2025-12-12T19:34:00.990238
27,เชื่อถือได้,,,,,2025-12-12T19:34:00.990238
28,เด็กๆ ก็ชอบ,,,,,2025-12-12T19:34:00.990238
29,เปิดเผยส่วนผสม,,,,,2025-12-12T19:34:00.990238
30,เหมาะกับร้านอาหาร,,,,,2025-12-12T19:34:00.990238
31,แพ็กเกจ / ขวด / ดีไซน์,,,,,2025-12-12T19:34:00.990238
32,แพ้ง่าย,,,,,2025-12-12T19:34:00.990238
33,ใส่ใจรายละเอียด,,,,,2025-12-12T19:34:00.990238
