segment_id,segment_name_th,segment_name_en,key_focus,description,created_at
1,คนทำงานออฟฟิศอยู่คอนโด,,เน้นความสะดวกและกลิ่นสะอาด,,2025-12-12T18:50:42.171822
2,แม่บ้านที่มีลูกเล็ก,,เน้นปลอดภัยและอ่อนโยน,,2025-12-12T18:50:42.174478
3,พ่อบ้านวัยทำงาน,,เน้นคุ้มค่าและประสิทธิภาพ,,2025-12-12T18:50:42.174478
4,นักศึกษาหอพัก,,เน้นราคาคุ้มและใช้ง่าย,,2025-12-12T18:50:42.175493
5,สายรักษ์โลก,,เน้นธรรมชาติและจิตสำนึกสิ่งแวดล้อม,,2025-12-12T18:50:42.176496
6,เจ้าของร้านอาหาร,,เน้นประสิทธิภาพและต้นทุน,,2025-12-12T18:50:42.176496
7,พนักงานแม่บ้านโรงแรม,,เน้นความเร็ว เงางาม และปลอดภัย,,2025-12-12T18:50:42.177493
8,คุณแม่วัยเกษียณ,,เน้นกลิ่นหอม อ่อนโยน และคุ้นเคย,,2025-12-12T18:50:42.178504
9,คนทำงานสายมินิมอล,,เน้นดีไซน์ ฟังก์ชัน และความรู้สึกสะอาด,,2025-12-12T18:50:42.178504
10,คุณพ่อวัยกลางคน,,ล้างจานคือเวลาครอบครัว,,2025-12-12T18:50:42.179502
11,ชาวบ้านต่างจังหวัด,,เน้นประหยัดและใช้ง่าย,,2025-12-12T18:50:42.179502
12,เจ้าของออฟฟิศ,,เน้นความสะอาด มาตรฐาน และภาพลักษณ์องค์กร,,2025-12-12T18:50:42.179502
13,อินฟลูเอนเซอร์สายบ้านมินิมอล,,เลือกของเพราะสไตล์และคุณค่า,,2025-12-12T18:50:42.181084
14,นักศึกษาต่างประเทศ,,เรียบง่าย ไม่แรง และต้องแชร์ได้,,2025-12-12T18:50:42.181588
15,ผู้หญิงผิวแพ้ง่าย,,ล้างจานทุกวันแต่ต้องอ่อนโยนกับมือ,,2025-12-12T18:50:42.182647
16,คุณแม่มือใหม่,,ต้องมั่นใจว่าสะอาดและปลอดภัยต่อลูก,,2025-12-12T18:50:42.183160
17,พนักงานคอนโดรายวัน,,ต้องล้างไว สะอาด และคุ้มค่า,,2025-12-12T18:50:42.183670
18,แม่ค้าตลาดเช้า,,ล้างมันไว ไม่เปลือง พร้อมขายรอบต่อไป,,2025-12-12T18:50:42.183670
19,คนอยู่คอนโดหรู,,เน้นกลิ่นดี ดีไซน์สวย และความรู้สึกพรีเมียม,,2025-12-12T18:50:42.184677
20,ครูโรงเรียนประจำ,,ล้างจานให้นักเรียน สะอาด ปลอดภัย ไม่ระคายมือ,,2025-12-12T18:50:42.185675
21,คนขับ Food Delivery,,ล้างไว ไม่เหนียว กลิ่นหอมช่วยผ่อนคลาย,,2025-12-12T18:50:42.185675
22,นักศึกษาหอหญิง,,ล้างจานในอ่างเล็ก ชอบกลิ่นหอมผ่อนคลาย,,2025-12-12T18:50:42.186675
23,ผู้สูงอายุอยู่บ้านคนเดียว,,ใช้ง่าย ปลอดภัย ไม่ลื่น ไม่มีกลิ่นแรง,,2025-12-12T18:50:42.186675
24,เชฟคาเฟ่เล็ก ๆ,,เน้นคุณภาพ ประสิทธิภาพ และภาพลักษณ์ร้าน,,2025-12-12T18:50:42.186675
25,นักวิจัยในห้องแล็บ,,ล้างสะอาด ปลอดภัย ต้องไม่เหลือสารตกค้าง,,2025-12-12T18:50:42.188179
